feature,coef_0,coef_1,coef_2,abs_mean_coef
num__blood_pressure,1.4585501454973233,-2.8551110908274335,1.3965609453301109,1.903407393884956
num__social_support,1.092452994494133,-1.3723840300507337,0.27993103555659976,0.9149226867004888
remainder__mental_health_history,0.3507692972234437,-0.6287898478650714,0.2780205506416276,0.41919323191004754
num__self_esteem,0.19968082601020212,0.24112327410205292,-0.4408041001122548,0.2938694000748366
num__teacher_student_relationship,0.1909629490979489,-0.3718249838054142,0.18086203470746545,0.2478833225369428
num__academic_performance,0.36752836672963735,-0.040081823835549917,-0.3274465428940877,0.24501891115309168
num__study_load,-0.3482506968470492,0.25988741471454224,0.08836328213250606,0.23216713123136581
num__basic_needs,0.3232980266682724,-0.24375591762938387,-0.07954210903888921,0.21553201777884853
num__headache,-0.21191418673923,-0.09659755064517041,0.30851173738440113,0.2056744915896005
num__bullying,-0.08491081933817592,-0.14621813212364382,0.2311289514618201,0.15408596764121327
